,HUB,McEachran,Cowles,Dixon,Library,Lindamen,Weyerhaeuser,McMillian,Music Building,Graves Gym,FieldHouse,Aquatic Center,Westminster,Art Center,Schumacher,Facilities Services,Robinson Science,Eric Johnston Science Center,Hendrick Hall,New Recreational Building
HUB,0,561,666,644,338,757,986,1121,1089,1540,1621,1601,1420,1699,1030,874,659,663,613,1756
McEachran,561,0,135,190,485,792,967,1076,535,1315,1599,1579,1460,1280,1083,1211,1004,998,942,1774
Cowles,666,135,0,154,534,805,983,1115,427,1321,1585,1565,1486,1303,1106,1309,1105,1066,1014,1826
Dixon,644,190,154,0,591,719,901,1019,374,1249,1526,1506,1397,1224,1020,1266,1099,1086,1030,1709
Library,338,485,534,591,0,417,638,756,919,1153,1251,1231,1093,913,709,765,548,525,479,1442
Lindamen,757,792,805,719,417,0,279,459,1218,875,919,899,778,703,607,952,588,870,902,1078
Weyerhaeuser,986,967,983,901,638,279,0,253,1277,669,696,676,558,479,531,777,466,777,997,885
McMillian,1121,1076,1115,1019,756,459,253,0,970,427,693,673,587,502,722,834,657,976,1185,905
Music Building,1089,535,427,374,919,1218,1277,970,0,1034,1458,1478,1431,1445,1503,1710,1469,1443,1411,1763
Graves Gym,1540,1315,1321,1249,1153,875,669,427,1034,0,463,483,549,779,1014,1124,1076,1406,1618,902
FieldHouse,1621,1599,1585,1526,1251,919,696,693,1458,463,0,20,508,761,990,1095,1216,1404,1633,663
Aquatic Center,1601,1579,1565,1506,1231,899,676,673,1478,483,20,0,479,752,971,1068,1058,1537,1593,643
Westminster,1420,1460,1486,1397,1093,778,558,587,1431,549,508,479,0,358,577,684,774,1122,1294,781
Art Center,1699,1280,1303,1224,913,703,479,502,1445,779,761,750,358,0,318,427,531,872,1047,875
Schumacher,1030,1083,1106,1020,709,607,531,722,1503,1014,990,971,577,318,0,570,318,662,862,1022
Facilities Services,874,1211,1309,1266,765,952,777,834,1710,1124,1095,1068,684,427,570,0,262,446,693,774
Robinson Science,659,1004,1105,1099,548,588,466,657,1469,1076,1216,1058,774,531,318,262,0,174,466,942
Eric Johnston Science Center,663,998,1066,1086,525,870,777,976,1443,1406,1404,1537,1122,872,662,466,174,0,479,1294
Hendrick Hall,613,942,1014,1030,479,902,997,1185,1411,1618,1633,1593,1294,1047,862,693,466,479,0,1549
New Recreational Building,1756,1774,1826,1709,1442,1078,885,905,1763,902,663,643,781,875,1022,774,942,1294,1549,0
